Thoi Gian,Nhiet Do (C),Do Am (%),PM2.5 (ug/m3),PM10 (ug/m3),Jitter (us),Phan Loai
2026-07-02 01:13:57,34.0,69.0,46,55,-4,Log truoc do
2026-07-02 01:14:02,34.0,69.0,46,55,734,JITTER CAO > 500us
2026-07-02 01:14:07,34.0,69.0,46,55,-726,JITTER CAO > 500us
2026-07-02 01:14:12,34.0,69.0,45,54,-15,Log ngay sau do
2026-07-02 01:14:57,34.0,69.0,45,54,8,Log truoc do
2026-07-02 01:15:02,34.0,69.0,45,54,748,JITTER CAO > 500us
2026-07-02 01:15:07,34.0,69.0,45,54,-748,JITTER CAO > 500us
2026-07-02 01:15:12,34.0,69.0,46,55,-11,Log ngay sau do
2026-07-02 01:22:14,34.0,69.0,45,54,8,Log truoc do
2026-07-02 01:22:19,34.0,69.0,45,53,708,JITTER CAO > 500us
2026-07-02 01:22:24,34.0,69.0,45,53,-763,JITTER CAO > 500us
2026-07-02 01:22:29,34.0,69.0,44,52,0,Log ngay sau do
2026-07-02 01:23:14,34.0,69.0,44,52,8,Log truoc do
2026-07-02 01:23:19,34.0,69.0,45,54,632,JITTER CAO > 500us
2026-07-02 01:23:24,34.0,69.0,45,54,-628,JITTER CAO > 500us
2026-07-02 01:23:29,34.0,69.0,45,54,-8,Log ngay sau do
